"filename", "language", "JSON", "Markdown", "HTML", "Vue", "TypeScript", "SCSS", "CSS", "TypeScript React", "JavaScript", "comment", "blank", "total"
"c:\Users\dell\Desktop\property\src\views\sysm\platform\components\public\dialog.vue", "Vue", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\dell\Desktop\property\src\views\sysm\platform\components\public\formSearch.vue", "Vue", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 6, 98
"c:\Users\dell\Desktop\property\src\views\sysm\platform\function.vue", "Vue", 0, 0, 0, 204, 0, 0, 0, 0, 0, 10, 15, 229
"c:\Users\dell\Desktop\property\src\views\sysm\platform\modular.vue", "Vue", 0, 0, 0, 191, 0, 0, 0, 0, 0, 10, 14, 215
"c:\Users\dell\Desktop\property\src\views\sysm\user\components\group\add.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 7, 136
"c:\Users\dell\Desktop\property\src\views\sysm\user\components\group\table.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 72, 0, 1, 1, 74
"c:\Users\dell\Desktop\property\src\views\sysm\user\group.vue", "Vue", 0, 0, 0, 126, 0, 0, 0, 0, 0, 2, 6, 134
"c:\Users\dell\Desktop\property\src\views\sysm\user\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\Desktop\property\tsconfig.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 41
"c:\Users\dell\Desktop\property\vue.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 52, 6, 1, 59
"Total", "-", 14278, 24, 16, 3249, 924, 222, 27, 209, 93, 213, 371, 19626
